tic_id,matched_to
50134563,102264230
106400349,106402532
116157559,116156517
120960808,120960812
121108497,121108727
122612041,122612091
122716055,122716169
123445012,123447592
12822523,12822545
138433385,138433618
14156987,14111411
14160888,14160842
142750921,142748283
1001640125,158002130
158165866,158170594
158272169,158272257
159178422,159221689
159937772,159951311
61175105,16005254
160640949,160578764
164414051,164460208
164525759,164525743
164558055,164556761
169814638,169814632
1001887340,187273748
270514562,187273811
188876000,188876052
193754089,193754373
194656591,194795551
199444031,199444169
199622159,199671901
200807744,200805484
207077659,207077681
326327354,212253390
21744173,21744120
245946704,245946724
249022694,249022743
250977649,250977648
252478389,252479260
258349579,258349590
268481158,268481319
269216990,269217040
271669592,271669616
27186427,27186509
272178917,272178989
273043427,273043474
27394225,27394293
275490004,275490034
275489218,275575525
800641254,27649847
449866018,277634430
903033356,281660552
296728825,296739893
299028627,299028607
1993624452,301031110
305044333,305048087
306648281,306648160
335662039,310002617
179996779,31244979
31374910,31374837
325682890,325682877
335661157,335661164
341405514,341405597
342480635,342642208
348835509,348835438
349445825,349456525
350153963,350153977
350290587,350293646
354542656,354469661
35595665,35516889
615922510,355703913
365278098,365102760
366410984,366411016
388801711,388801714
395393002,395393265
399822420,399822422
398939549,411608801
413731775,414843476
1882972403,417676990
422685200,422685031
435340174,435339847
72510015,437333618
455784540,455784423
310775568,458419328
458478237,458478250
459762306,459762279
48450299,48450369
2025686740,51637609
52749419,52689469
63368767,63282889
63283615,63283780
67666089,67666096
69357134,69356857
70799619,70803960
75941406,75878355
82308724,82308728
85245105,85266608
86130486,86130229
99834398,99834717
260969058,260969020
