tic_id,pl_name,hostname,pl_orbper,pl_trandur,pl_trandep,pl_tranmid,pl_rade,st_rad,ra,dec,sy_dist,sy_tmag
TIC 102264230,WASP-47 e,WASP-47,0.78961,1.899,0.0258,2457012.13666,1.83,1.156,331.203092,-12.019067,264.78,11.29
TIC 106402532,TOI-733 b,TOI-733,4.884765,2.61,0.0478,2458545.7767,1.992,0.949,159.4093183,-40.888259,75.2092,8.8411
TIC 116156517,WASP-190 b,WASP-190,5.367753,4.464,0.62,2457799.1256,12.89035,1.6,7.7095292,-40.5734613,542.251,11.3151
TIC 120960812,Kepler-25 b,Kepler-25,6.238297,3.54393,0.04028,2455703.42004,2.748,1.316,286.6383905,39.4879038,243.249,10.2768
TIC 121108727,Kepler-475 b,Kepler-475,3.105508189,1.721,0.09109,2454966.210436,2.49,0.79,287.051694,40.2114232,280.069,12.6882
TIC 122612091,WASP-72 b,WASP-72,2.21673,3.8789472,0.37,2458789.06301,14.45961,2.18,41.0400779,-30.1690785,434.754,10.4614
TIC 122716169,Kepler-1107 b,Kepler-1107,0.571038518,1.042,0.02626,2454964.653538,1.34,0.82,291.049934,39.141674,428.798,13.5378
TIC 123447592,Kepler-1244 b,Kepler-1244,3.70428172,3.281,0.00583,2454965.2159,1.35,1.77,282.3012505,46.5161814,1075.81,11.9966
TIC 12822545,K2-54 b,K2-54,9.7833,2.7888,0.139,2457012.2875,2.6116925,0.643,338.0541631,-17.5440636,174.955,13.0367
TIC 138433618,Kepler-1870 b,Kepler-1870,3.606940031,1.0258,0.04317,2454956.953067,2.10143764,0.84,293.9335076,40.590704,407.216,12.9026
TIC 14111411,K2-90 c,K2-90,2.900706,1.3032,0.0389,2457066.74,1.3,0.634754,59.1527391,22.4724517,134.188,12.4067
TIC 14160842,K2-85 b,K2-85,0.68453862616,0.8184,0.04,2457065.36778,1.4,0.71,59.464829,18.4649505,97.2179,11.2967
TIC 142748283,TOI-2096 b,TOI-2096,3.1190633,1.072,0.266,2459146.45853,1.243,0.235,151.6186989,74.8272107,48.4809,13.4764
TIC 158002130,TOI-1180 b,TOI-1180,9.686760378,2.749,0.1669,2459950.32735,3.072,0.73,214.5557741,82.1937642,72.0238,10.112
TIC 158170594,Kepler-412 b,Kepler-412,1.7208604,2.03459,1.05413,2454966.02122,15.031269,1.287,286.1103053,43.6809612,1086.24,13.8046
TIC 158272257,Kepler-332 b,Kepler-332,7.626324,2.37,0.02961,2454969.01672,1.17,0.72,286.6627811,47.4136938,344.19,13.4066
TIC 159221689,Kepler-1891 b,Kepler-1891,4.02229023,0.8605,0.02344,2454968.17317,1.52139156,0.827,290.0438524,44.3705375,596.24,13.7513
TIC 159951311,WASP-139 b,WASP-139,5.924262,2.832,1.07,2457196.7933,8.9672,0.8,49.562173,-41.3020235,212.472,11.7276
TIC 16005254,TOI-5344 b,TOI-5344,3.792622,1.773,2.444,2459848.9903,10.60369574,0.588,63.2662165,20.9151568,138.367,13.2239
TIC 160578764,WASP-192 b,WASP-192,2.8786765,2.3136,0.926,2457271.3331,13.78707,1.32,223.6587187,-38.7445469,508.885,12.1014
TIC 164460208,Kepler-303 b,Kepler-303,1.937055,1.535,0.03123,2454967.71867,0.89,0.485,283.1354742,43.6567036,209.738,13.5887
TIC 164525743,Kepler-1443 b,Kepler-1443,2.41811321,2.194,0.00458,2454965.38281,0.97,1.27,283.4357392,47.0667983,593.646,11.8483
TIC 164556761,Kepler-1019 b,Kepler-1019,1.411229847,1.3912,0.03957,2454965.642284,1.46,0.67,283.7175909,47.2043818,194.182,12.8455
TIC 169814632,Kepler-1800 b,Kepler-1800,4.562029839,2.8521,0.00816,2454965.64295,0.99679734,2.506,297.6513317,40.3524154,350.455,12.5401
TIC 187273748,K2-351 b,K2-351,7.806164,2.78,0.0681,2457223.495191,2.54,1.05,206.6522408,-11.8049588,694.734,13.5118
TIC 187273811,K2-192 b,K2-192,4.162817,1.6176,0.0318,2457220.444,1.52,0.81,206.5823122,-11.5563527,221.753,11.898
TIC 188876052,HAT-P-8 b,HAT-P-8,3.07634,3.9016058,0.83,2456052.75596,15.6926,1.57,343.0414932,35.4471778,211.553,9.7758
TIC 193754373,TOI-4487 A b,TOI-4487 A,3.9540709,4.27,0.669,2460079.02001,14.60530185,1.634,306.4220814,45.9710306,479.145,11.4923
TIC 194795551,TOI-3331 A b,TOI-3331 A,2.0180231,2.12304,1.559,2459371.653,12.97999965,0.952,271.3241672,-34.107171,217.193,11.3208
TIC 199444169,TOI-1410.01,TOI-1410,1.21687,1.1120799,0.124,2458739.72931,3.10083009,0.7558,334.8828486,42.5603141,72.7512,10.1917
TIC 199671901,HAT-P-40 b,HAT-P-40,4.45724,6.1368,0.65,2456651.13368,17.03768,1.94,335.5129199,45.4573423,464.469,10.9726
TIC 200805484,TOI-2654 b,TOI-2654,2.96760425926,1.8137941,1.041,2458414.30009512,7.94454164,0.756095,52.9815377,-47.9946912,248.964,13.0725
TIC 207077681,WASP-144 b,WASP-144,2.2783152,1.9536,1.165,2457157.27493,9.52765,0.81,320.7628761,-40.0484393,355.513,12.3119
TIC 212253390,TOI-2211.01,TOI-2211,3.092686757,2.0586,0.02726778,2459038.1032,1.561,0.834,308.5390859,-29.6726127,70.2932,9.2551
TIC 21744120,HAT-P-18 b,HAT-P-18,5.508023,2.7144,2.15847573,2454715.02174,11.153,0.749,256.346376,33.0123251,161.4,11.733
TIC 245946724,K2-395 b,K2-395,4.803352,2.5,,2457825.0089,2.597,0.783,70.4438684,16.6743415,286.727,13.3168
TIC 249022743,TIC 249022743 b,TIC 249022743,2.25719681538,2.9281998,,2458455.57157517,4.79568155,1.2084,78.5762192,-3.4466123,396.46,12.0299
TIC 250977648,K2-39 b,K2-39,4.60543,8.184,0.037,2456985.4268,6.27704,2.97,338.3682095,-9.0229405,307.47,9.9735
TIC 252479260,HAT-P-22 b,HAT-P-22,3.21222,2.653,1.1,2458261.30598,12.89035,1.11,155.6814593,50.1287115,81.7647,9.007
TIC 258349590,Kepler-363 b,Kepler-363,3.614568,3.401,0.00648,2454967.69656,1.16,1.485,283.1920779,41.3054172,762.596,12.8016
TIC 260969020,TIC 260969020 b,TIC 260969020,8.48584501953,2.2696952,,2458631.52270935,2.22686612,0.68988,74.9407148,-79.5859489,121.222,11.4583
TIC 268481319,Kepler-463 b,Kepler-463,8.981016833,1.8737,0.10593,2454969.649263,3.05,0.9,298.9368228,44.8578644,394.804,12.3639
TIC 269217040,KELT-10 b,KELT-10,4.1662739,3.744,1.416,2457066.72045,15.681391,1.209,284.5483823,-47.0033072,188.404,10.2748
TIC 271669616,Kepler-644 b,Kepler-644,3.173917103,3.5066,0.0303,2455003.92435,3.15,1.81,295.4757022,43.4931119,1318.05,13.5456
TIC 27186509,Kepler-1104 b,Kepler-1104,5.03728015,1.8848,0.00784,2454967.1094,1.23,1.41,294.4685197,49.3309789,530.658,11.728
TIC 272178989,Kepler-910 b,Kepler-910,2.364369015,3.2852,0.00288,2454965.25006,0.82,1.5,296.0472937,42.7429414,400.289,11.1493
TIC 273043474,Kepler-1994 b,Kepler-1994,4.61225043,2.695,0.00291,2454966.86134,0.51,0.961,297.1487941,46.2969247,241.991,11.3139
